best m,c is 1.670000,13.450000 with error 15.838946 in direction 0
best m,c is 1.670000,13.460000 with error 15.835209 in direction 0
best m,c is 1.670000,13.470000 with error 15.831478 in direction 0
best m,c is 1.670000,13.480000 with error 15.827753 in direction 0
best m,c is 1.670000,13.490000 with error 15.824032 in direction 0
best m,c is 1.670000,13.500000 with error 15.820318 in direction 0
best m,c is 1.670000,13.510000 with error 15.816608 in direction 0
best m,c is 1.670000,13.520000 with error 15.812905 in direction 0
best m,c is 1.670000,13.530000 with error 15.809206 in direction 0
best m,c is 1.670000,13.540000 with error 15.805513 in direction 0
best m,c is 1.670000,13.550000 with error 15.801826 in direction 0
best m,c is 1.670000,13.560000 with error 15.798144 in direction 0
best m,c is 1.670000,13.570000 with error 15.794467 in direction 0
best m,c is 1.660000,13.580000 with error 15.790684 in direction 7
best m,c is 1.660000,13.590000 with error 15.786703 in direction 0
best m,c is 1.660000,13.600000 with error 15.782727 in direction 0
best m,c is 1.660000,13.610000 with error 15.778756 in direction 0
best m,c is 1.660000,13.620000 with error 15.774791 in direction 0
best m,c is 1.660000,13.630000 with error 15.770831 in direction 0
best m,c is 1.660000,13.640000 with error 15.766877 in direction 0
best m,c is 1.660000,13.650000 with error 15.762928 in direction 0
best m,c is 1.660000,13.660000 with error 15.758984 in direction 0
best m,c is 1.660000,13.670000 with error 15.755046 in direction 0
best m,c is 1.660000,13.680000 with error 15.751113 in direction 0
best m,c is 1.660000,13.690000 with error 15.747185 in direction 0
best m,c is 1.660000,13.700000 with error 15.743263 in direction 0
best m,c is 1.660000,13.710000 with error 15.739346 in direction 0
best m,c is 1.660000,13.720000 with error 15.735435 in direction 0
best m,c is 1.660000,13.730000 with error 15.731529 in direction 0
best m,c is 1.660000,13.740000 with error 15.727628 in direction 0
best m,c is 1.660000,13.750000 with error 15.723733 in direction 0
best m,c is 1.660000,13.760000 with error 15.719843 in direction 0
best m,c is 1.660000,13.770000 with error 15.715958 in direction 0
best m,c is 1.660000,13.780000 with error 15.712079 in direction 0
best m,c is 1.660000,13.790000 with error 15.708205 in direction 0
best m,c is 1.660000,13.800000 with error 15.704337 in direction 0
best m,c is 1.660000,13.810000 with error 15.700474 in direction 0
best m,c is 1.660000,13.820000 with error 15.696617 in direction 0
best m,c is 1.660000,13.830000 with error 15.692765 in direction 0
best m,c is 1.660000,13.840000 with error 15.688918 in direction 0
best m,c is 1.660000,13.850000 with error 15.685077 in direction 0
best m,c is 1.660000,13.860000 with error 15.681241 in direction 0
best m,c is 1.660000,13.870000 with error 15.677411 in direction 0
best m,c is 1.660000,13.880000 with error 15.673586 in direction 0
best m,c is 1.660000,13.890000 with error 15.669766 in direction 0
best m,c is 1.660000,13.900000 with error 15.665952 in direction 0
best m,c is 1.660000,13.910000 with error 15.662144 in direction 0
best m,c is 1.660000,13.920000 with error 15.658341 in direction 0
best m,c is 1.660000,13.930000 with error 15.654543 in direction 0
best m,c is 1.660000,13.940000 with error 15.650751 in direction 0
best m,c is 1.660000,13.950000 with error 15.646964 in direction 0
best m,c is 1.660000,13.960000 with error 15.643183 in direction 0
best m,c is 1.660000,13.970000 with error 15.639408 in direction 0
best m,c is 1.660000,13.980000 with error 15.635637 in direction 0
best m,c is 1.660000,13.990000 with error 15.631873 in direction 0
best m,c is 1.660000,14.000000 with error 15.628113 in direction 0
best m,c is 1.660000,14.010000 with error 15.624360 in direction 0
best m,c is 1.660000,14.020000 with error 15.620612 in direction 0
best m,c is 1.660000,14.030000 with error 15.616869 in direction 0
best m,c is 1.660000,14.040000 with error 15.613132 in direction 0
best m,c is 1.660000,14.050000 with error 15.609400 in direction 0
best m,c is 1.660000,14.060000 with error 15.605674 in direction 0
best m,c is 1.660000,14.070000 with error 15.601953 in direction 0
best m,c is 1.660000,14.080000 with error 15.598238 in direction 0
best m,c is 1.660000,14.090000 with error 15.594528 in direction 0
best m,c is 1.660000,14.100000 with error 15.590824 in direction 0
best m,c is 1.660000,14.110000 with error 15.587126 in direction 0
best m,c is 1.660000,14.120000 with error 15.583433 in direction 0
best m,c is 1.660000,14.130000 with error 15.579745 in direction 0
best m,c is 1.660000,14.140000 with error 15.576063 in direction 0
best m,c is 1.660000,14.150000 with error 15.572387 in direction 0
best m,c is 1.660000,14.160000 with error 15.568716 in direction 0
best m,c is 1.660000,14.170000 with error 15.565051 in direction 0
best m,c is 1.660000,14.180000 with error 15.561391 in direction 0
best m,c is 1.660000,14.190000 with error 15.557737 in direction 0
best m,c is 1.660000,14.200000 with error 15.554088 in direction 0
best m,c is 1.660000,14.210000 with error 15.550445 in direction 0
best m,c is 1.660000,14.220000 with error 15.546808 in direction 0
best m,c is 1.660000,14.230000 with error 15.543176 in direction 0
best m,c is 1.650000,14.240000 with error 15.539359 in direction 7
best m,c is 1.650000,14.250000 with error 15.535418 in direction 0
best m,c is 1.650000,14.260000 with error 15.531482 in direction 0
best m,c is 1.650000,14.270000 with error 15.527551 in direction 0
best m,c is 1.650000,14.280000 with error 15.523626 in direction 0
best m,c is 1.650000,14.290000 with error 15.519707 in direction 0
best m,c is 1.650000,14.300000 with error 15.515793 in direction 0
best m,c is 1.650000,14.310000 with error 15.511884 in direction 0
best m,c is 1.650000,14.320000 with error 15.507981 in direction 0
best m,c is 1.650000,14.330000 with error 15.504083 in direction 0
best m,c is 1.650000,14.340000 with error 15.500191 in direction 0
best m,c is 1.650000,14.350000 with error 15.496304 in direction 0
best m,c is 1.650000,14.360000 with error 15.492423 in direction 0
best m,c is 1.650000,14.370000 with error 15.488547 in direction 0
best m,c is 1.650000,14.380000 with error 15.484677 in direction 0
best m,c is 1.650000,14.390000 with error 15.480812 in direction 0
best m,c is 1.650000,14.400000 with error 15.476952 in direction 0
best m,c is 1.650000,14.410000 with error 15.473099 in direction 0
best m,c is 1.650000,14.420000 with error 15.469250 in direction 0
best m,c is 1.650000,14.430000 with error 15.465408 in direction 0
best m,c is 1.650000,14.440000 with error 15.461570 in direction 0
best m,c is 1.650000,14.450000 with error 15.457738 in direction 0
best m,c is 1.650000,14.460000 with error 15.453912 in direction 0
best m,c is 1.650000,14.470000 with error 15.450091 in direction 0
best m,c is 1.650000,14.480000 with error 15.446276 in direction 0
best m,c is 1.650000,14.490000 with error 15.442466 in direction 0
best m,c is 1.650000,14.500000 with error 15.438662 in direction 0
best m,c is 1.650000,14.510000 with error 15.434864 in direction 0
best m,c is 1.650000,14.520000 with error 15.431071 in direction 0
best m,c is 1.650000,14.530000 with error 15.427283 in direction 0
best m,c is 1.650000,14.540000 with error 15.423501 in direction 0
best m,c is 1.650000,14.550000 with error 15.419725 in direction 0
best m,c is 1.650000,14.560000 with error 15.415954 in direction 0
best m,c is 1.650000,14.570000 with error 15.412189 in direction 0
best m,c is 1.650000,14.580000 with error 15.408429 in direction 0
best m,c is 1.650000,14.590000 with error 15.404675 in direction 0
best m,c is 1.650000,14.600000 with error 15.400926 in direction 0
best m,c is 1.650000,14.610000 with error 15.397183 in direction 0
best m,c is 1.650000,14.620000 with error 15.393446 in direction 0
best m,c is 1.650000,14.630000 with error 15.389714 in direction 0
best m,c is 1.650000,14.640000 with error 15.385988 in direction 0
best m,c is 1.650000,14.650000 with error 15.382267 in direction 0
best m,c is 1.650000,14.660000 with error 15.378552 in direction 0
